Player Name,Team,Region,Win Rate,KDA,Cpm,Gpm,Kill Participation,Most played champ,Main role,Dpm
Cool,OMG,China,54.2,4.1,8.1,440.9,66.6,"Azir, Viktor, Ahri",Mid,654.5
Uzi,OMG,China,54.3,3.8,8.9,387.7,74.1,"Sivir, Lucian, Vayne",ADC,554.9
OMGAmazing,OMG,China,50,3.1,0.9,287.7,74.5,"Nautilus, Alistar, Braum",Support,95.4
DanDy,Vici Gaming,China,53.3,4,4.8,311.9,70.3,"Rek'sai, Maokai, Hecarim",Top,378.5
World6,Vici Gaming,China,53.1,4.7,3.3,349.3,77.7,"Gragas, Rek'sai, Ekko",Jungle,235.5
HeTong,Vici Gaming,China,53.2,4,7.9,377.7,68.5,"Azir, Xerath, Kassadin",Mid,634.5
Endless,Vici Gaming,China,46.9,3.9,7.6,331,74.8,"Sivir, Vayne, Tristana",ADC,584.5
Mata,Vici Gaming,China,53.3,3.6,0.8,267.9,72.5,"Janna, Thresh, Braum",Support,132.9
Zzitai,Invictus Gaming,China,53.3,3.2,7.3,394.4,66.4,"Maokai, Gnar, Shen",Top,385.9
KaKAO,Invictus Gaming,China,54.7,4,3.4,286.3,73.6,"Gragas, Rek'sai, Ekko",Jungle,247.6
RooKie,Invictus Gaming,China,55.2,3.9,8.7,375.3,71.2,"Azir, Viktor, Orianna",Mid,832.4
Kid,Invictus Gaming,China,54.6,4.2,8.1,352.2,68.5,"Kalista, Sivir, Corki",ADC,531
Kitties,Invictus Gaming,China,54.7,3.4,0.8,229.3,69.9,"Janna, Braum, Thresh",Support,114.5
Acorn,LGD Gaming,China,59.8,3.9,6.6,334.4,62.7,"Hecarim, Rumble, Gnar",Top,412.5
TBQ,LGD Gaming,China,55.7,3.7,3.4,324.4,68,"Rek'sai, Lee Sin, Gragas",Jungle,278.5
GODV,LGD Gaming,China,57.9,4.1,8.6,411.8,66,"Orianna, Kassadin, Diana",Mid,734.2
imp,LGD Gaming,China,57.9,4.1,8.6,398.7,70.8,"Sivir, Kalista, Graves",ADC,654.3
Pyl,LGD Gaming,China,59,3.7,0.7,269.6,70.4,"Janna, Thresh, Alistar",Support,110.9
Skye,Team King,China,45.2,3.2,6.7,322.2,59.4,"Maokai, Irelia, Sion",Top,443.2
inSec,Team King,China,38.9,2.8,5,385.6,67.1,"Rengar, Hecarim, Jarvan",Jungle,211.5
Corn,Team King,China,35.2,3.4,8,344.5,69.5,"Fizz, Ahri, Azir",Mid,678.4
NaMei,Team King,China,37.9,2.9,7.7,339.4,77.8,"Sivir, Jinx, Corki",ADC,576.2
Ley,Team King,China,43,3.1,0.8,282.7,75.2,"Thresh, Janna, Alistar",Support,104.7
Aluka,Team WE,China,40.2,2.6,6.6,314.2,62.4,"Maokai, Sion, Gnar",Top,387.5
Spirit,Team WE,China,40.2,3,3.8,311.9,74.3,"Jarvan, Gragas, Rek'sai",Jungle,293.8
xiye,Team WE,China,45.8,2.7,8.1,385,60,"Ahri, Viktor, Diana",Mid,734.2
Mystic,Team WE,China,45.8,2.7,8.1,358.5,71.2,"Vayne, Sivir, Lucian",ADC,698.3
Conan,Team WE,China,35.8,2.4,0.6,265,74.8,"Janna, Nautilus, Morgana",Support,101.3
,,,,,,,,,,
Ziv,AHQ e-Sports Club,Taiwan,100,6.14,6.9,360.2,63.4,Maokai,Top,464.9
